version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0003,0.0002,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0003,0.0002,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0003,0.0002,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0003,0.0002,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.0002,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.0002,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.0002,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0002,0.0003,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0002,0.0003,0.0006,1,1666.6666666666667,0.40810536834192945,0.0005998200539838046,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0002,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
