version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
claude_code__m_claude-opus-4.5__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.000419,0.000242,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.1-codex__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.1__l_pascal__run000,0.000419,0.000427,0.17891300000000002,419,2341.9203747072597,0.990584061851728,0.0,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.000419,0.000242,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1__l_pascal__run000,0.000419,0.000427,0.17891300000000002,419,2341.9203747072597,0.990584061851728,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.000419,0.000242,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1__l_pascal__run000,0.000419,0.000427,0.17891300000000002,419,2341.9203747072597,0.990584061851728,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.000419,0.000242,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.000427,0.000242,0.10333400000000001,70,677.4149844194553,0.21751045556155738,7.470182664943793e-170,True,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000427,0.000419,0.17891300000000002,419,2341.9203747072597,0.990584061851728,0.0,True,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000427,0.000419,0.17891300000000002,419,2341.9203747072597,0.990584061851728,0.0,True,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000427,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.000242,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.3-codex__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.000242,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.2__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.4-mini__l_pascal__run000,0.0,0.000242,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.3-codex__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,codex__m_gpt-5.4__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.000242,0.000419,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000242,0.000419,0.10139799999999999,63,621.314029862522,0.19759222792815437,1.0924991881674663e-150,True,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4-mini__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000242,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,codex__m_gpt-5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.4__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-1.5__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,cursor__m_composer-2-fast__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-1.5__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,cursor__m_composer-2__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.0,0.000419,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2-fast__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-2.5-flash__l_pascal__run000,0.000419,0.000419,0.175561,419,2386.634844868735,1.0,0.0,True,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
cursor__m_composer-2__l_pascal__run000,opencode__m_qwen_qwen3.6-plus__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
gemini__m_gemini-2.5-flash__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
gemini__m_gemini-2.5-flash__l_pascal__run000,gemini__m_gemini-3.1-pro-preview__l_pascal__run000,0.000419,0.0,0.0,0,,,,False,0.00029239766081871346
