version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
claude_code__m_claude-opus-4.6__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,claude_code__m_claude-sonnet-4.6__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,claude_code__m_claude-sonnet-4__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5-codex__l_python__run000,5.6e-05,0.000423,0.023688,1,42.21546774738264,0.006344953789100702,0.02340964185191877,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.1-codex-max__l_python__run000,5.6e-05,0.000421,0.023576,1,42.41601628775025,0.006360730321631987,0.023300257603817664,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.1-codex__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.2-codex__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.2__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.3-codex__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.4-mini__l_python__run000,5.6e-05,0.010052,0.562912,2,3.552953214712069,0.0019251699705341112,0.10984636523366001,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5.4__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,codex__m_gpt-5__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,cursor__m_composer-2-fast__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,cursor__m_composer-2__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,cursor__m_grok-4-20__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,cursor__m_kimi-k2.5__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,gemini__m_gemini-3-flash-preview__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,gemini__m_gemini-3.1-pro-preview__l_python__run000,5.6e-05,4e-06,0.00022399999999999997,1,4464.285714285715,0.06680234794157712,0.0002239749138982148,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,opencode__m_google_gemma-4-26b-a4b-it__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,opencode__m_google_gemma-4-31b-it__l_python__run000,5.6e-05,2e-06,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,opencode__m_qwen_qwen3.5-flash-02-23__l_python__run000,5.6e-05,0.001226,0.06865600000000001,2,29.130738755534836,0.007375626780827368,0.0022516749298645486,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.5__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,5.6e-05,0.000421,0.023576,2,84.8320325755005,0.012875042056730662,0.0002735839342084128,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,claude_code__m_claude-sonnet-4__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5-codex__l_python__run000,2e-06,0.000423,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.1-codex-max__l_python__run000,2e-06,0.000421,0.000842,1,1187.6484560570073,0.03444054353444125,0.0008416456178245256,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.1-codex__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.2-codex__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.2__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.3-codex__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.4-mini__l_python__run000,2e-06,0.010052,0.020104,2,99.48269001193792,0.014034449542302103,0.00019939704080097496,False,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5.4__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,codex__m_gpt-5__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,cursor__m_composer-2-fast__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,cursor__m_composer-2__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,cursor__m_grok-4-20__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,cursor__m_kimi-k2.5__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,gemini__m_gemini-3-flash-preview__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,gemini__m_gemini-3.1-pro-preview__l_python__run000,2e-06,4e-06,8e-06,1,125000.0,0.35355162282119423,7.999968000117333e-06,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,opencode__m_google_gemma-4-26b-a4b-it__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,opencode__m_google_gemma-4-31b-it__l_python__run000,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,opencode__m_qwen_qwen3.5-flash-02-23__l_python__run000,2e-06,0.001226,0.002452,2,815.6606851549755,0.04036489352096954,3.0012394676157013e-06,True,0.0001666666666666667
claude_code__m_claude-sonnet-4.6__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5-codex__l_python__run000,0.000421,0.000423,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.1-codex-max__l_python__run000,0.000421,0.000421,0.17724099999999998,420,2369.654876693316,0.9976237026667086,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.1-codex__l_python__run000,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.2-codex__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.2__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.3-codex__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.4-mini__l_python__run000,0.000421,0.010052,4.231892,2,0.47260185278830363,-0.0010906643921424531,0.9240077988003099,False,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5.4__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,codex__m_gpt-5__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,cursor__m_composer-2-fast__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,cursor__m_composer-2__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,cursor__m_grok-4-20__l_python__run000,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,cursor__m_kimi-k2.5__l_python__run000,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,gemini__m_gemini-3-flash-preview__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,gemini__m_gemini-3.1-pro-preview__l_python__run000,0.000421,4e-06,0.001684,1,593.8242280285036,0.024332643588143885,0.001682582869010819,False,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,opencode__m_google_gemma-4-26b-a4b-it__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,opencode__m_google_gemma-4-31b-it__l_python__run000,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_python__run000,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,opencode__m_qwen_qwen3.5-flash-02-23__l_python__run000,0.000421,0.001226,0.516146,421,815.6606851549756,0.5857615560439858,0.0,True,0.0001666666666666667
claude_code__m_claude-sonnet-4__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.1-codex-max__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.1-codex__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.2-codex__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.2__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.3-codex__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.4-mini__l_python__run000,0.000423,0.010052,4.251996,1,0.2351836643308225,-0.0015854014845161082,0.985764337793871,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5.4__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,cursor__m_composer-2-fast__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,cursor__m_composer-2__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,cursor__m_grok-4-20__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,cursor__m_kimi-k2.5__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,gemini__m_gemini-3-flash-preview__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,gemini__m_gemini-3.1-pro-preview__l_python__run000,0.000423,4e-06,0.001692,3,1773.049645390071,0.07290692905099061,8.063014264284164e-10,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,opencode__m_google_gemma-4-26b-a4b-it__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,opencode__m_google_gemma-4-31b-it__l_python__run000,0.000423,2e-06,0.000846,1,1182.033096926714,0.034358924162254494,0.0008456422432521712,False,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,opencode__m_qwen_qwen3.5-flash-02-23__l_python__run000,0.000423,0.001226,0.518598,420,809.8758576006849,0.5829825434198094,0.0,True,0.0001666666666666667
codex__m_gpt-5-codex__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,0.000423,0.000421,0.178083,420,2358.450834723135,0.9952614593974124,0.0,True,0.0001666666666666667
codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.1-codex__l_python__run000,0.000421,0.000421,0.17724099999999998,420,2369.654876693316,0.9976237026667086,0.0,True,0.0001666666666666667
codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.2-codex__l_python__run000,0.000421,2e-06,0.000842,1,1187.6484560570073,0.03444054353444125,0.0008416456178245256,False,0.0001666666666666667
codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.2__l_python__run000,0.000421,2e-06,0.000842,1,1187.6484560570073,0.03444054353444125,0.0008416456178245256,False,0.0001666666666666667
codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.3-codex__l_python__run000,0.000421,2e-06,0.000842,1,1187.6484560570073,0.03444054353444125,0.0008416456178245256,False,0.0001666666666666667
codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.4-mini__l_python__run000,0.000421,0.010052,4.231892,1,0.23630092639415182,-0.0015793369588000033,0.9854752466067852,False,0.0001666666666666667
